id,statename,lganame,wardname,urban,landuse,NDVI,processed_date,geometry_x
4250642,Osun,Ila,Isedo 2,No,farmland,0.1404651465995144,2024-03-29,"POLYGON ((4.9202774 8.0103496, 4.922724 8.0075621, 4.9351159 8.0070888, 4.9358243 8.0134468, 4.9202774 8.0103496))"
315887555,Osun,Ila,Isedo 2,No,farmland,-0.032691611391130866,2024-03-29,"POLYGON ((4.9142832 8.0195234, 4.9148599 8.0201876, 4.910578 8.0205142, 4.9109022 8.0200492, 4.9142832 8.0195234))"
315887557,Osun,Ila,Isedo 2,No,farmland,0.07257844345779653,2024-03-29,"POLYGON ((4.9432853 7.9805558, 4.9436964 7.9823017, 4.9434988 7.9825052, 4.9423841 7.9815266, 4.9432853 7.9805558))"
315907109,Osun,Ila,Isedo 2,No,farmland,0.17631574000049086,2024-03-29,"POLYGON ((4.9219856 7.98998, 4.9207581 7.9981467, 4.9136803 7.9998466, 4.9123838 7.9876653, 4.9219856 7.98998))"
315919315,Osun,Ila,Isedo 2,No,farmland,0.39848123038499733,2024-03-29,"POLYGON ((4.9331338 7.9980442, 4.9289829 8.0040204, 4.927003 8.0027062, 4.9290031 7.9991677, 4.9331338 7.9980442))"
315919317,Osun,Ila,Isedo 2,No,farmland,0.05969274070599273,2024-03-29,"POLYGON ((4.9204772 8.0005057, 4.9208866 8.0005585, 4.9208084 8.0008132, 4.9204514 8.0007754, 4.9204772 8.0005057))"
315919320,Osun,Ila,Isedo 2,No,farmland,0.05506719222693639,2024-03-29,"POLYGON ((4.9213953 8.0005696, 4.9222562 8.0009239, 4.9219208 8.0013667, 4.9211605 8.0010235, 4.9213953 8.0005696))"
315919321,Osun,Ila,Isedo 2,No,farmland,0.4410144847001929,2024-03-29,"POLYGON ((4.9238509 7.9879167, 4.9243804 7.9885522, 4.9237487 7.9895155, 4.9227759 7.9890528, 4.9238509 7.9879167))"
315919322,Osun,Ila,Isedo 2,No,farmland,0.11923198821186179,2024-03-29,"POLYGON ((4.9204309 8.0012129, 4.9209481 8.0012892, 4.9204003 8.0015623, 4.9204309 8.0012129))"
315919332,Osun,Ila,Isedo 2,No,farmland,0.4270458320293249,2024-03-29,"POLYGON ((4.9224519 7.9927705, 4.9228767 7.991691, 4.9232512 7.9918571, 4.9229773 7.9933406, 4.9224519 7.9927705))"
315919334,Osun,Ila,Isedo 2,No,farmland,0.2894580516443398,2024-03-29,"POLYGON ((4.9246168 7.9982628, 4.922939 8.0009377, 4.9225911 8.0007128, 4.9238955 7.9978554, 4.9246168 7.9982628))"
315933548,Osun,Ila,Isedo 2,No,farmland,0.03212042242472782,2024-03-29,"POLYGON ((4.9255544 8.0069656, 4.9255997 8.0074073, 4.922724 8.0075621, 4.9236951 8.0072561, 4.9255544 8.0069656))"
315933550,Osun,Ila,Isedo 2,No,farmland,0.11388340724856597,2024-03-29,"POLYGON ((4.9404879 8.0141702, 4.9384536 8.0133331, 4.9389465 8.01222, 4.9404608 8.01295, 4.9404879 8.0141702))"
315933551,Osun,Ila,Isedo 2,No,farmland,0.07597367331946041,2024-03-29,"POLYGON ((4.9381844 8.0142932, 4.937794 8.0165387, 4.9349185 8.016659, 4.9359253 8.0138679, 4.9381844 8.0142932))"
315933553,Osun,Ila,Isedo 2,No,farmland,0.1353065374257414,2024-03-29,"POLYGON ((4.9377963 8.0166444, 4.9369859 8.0186084, 4.9338086 8.0175877, 4.9349185 8.016659, 4.9377963 8.0166444))"
315933554,Osun,Ila,Isedo 2,No,farmland,0.042155484104831636,2024-03-29,"POLYGON ((4.9372335 8.0184208, 4.9389063 8.0158388, 4.9397056 8.0184017, 4.9390747 8.0190473, 4.9372335 8.0184208))"
315933555,Osun,Ila,Isedo 2,No,farmland,0.44439773317718373,2024-03-29,"POLYGON ((4.9272659 8.006719, 4.9331338 7.9980442, 4.9324757 8.0054348, 4.931436 8.0064754, 4.9272659 8.006719))"
315933556,Osun,Ila,Isedo 2,No,farmland,0.5048534074563283,2024-03-29,"POLYGON ((4.9279833 8.0078322, 4.9343763 8.0068076, 4.935595 8.0037077, 4.9371602 8.0029659, 4.9377902 8.0063418, 4.9279833 8.0078322))"
315933557,Osun,Ila,Isedo 2,No,farmland,-0.0351342153986389,2024-03-29,"POLYGON ((4.9527045 7.9940229, 4.9533111 7.994986, 4.9518512 7.99558, 4.951281 7.9944729, 4.9527045 7.9940229))"
476348292,Osun,Ila,Isedo 2,No,farmland,0.4883524090119607,2024-03-29,"POLYGON ((4.9760141 8.0035103, 4.976543 8.0034448, 4.9770602 8.0042844, 4.9763719 8.0046733, 4.9760141 8.0035103))"
476348301,Osun,Ila,Isedo 2,No,farmland,0.47245708321284796,2024-03-29,"POLYGON ((4.9715165 8.0114603, 4.9707149 8.0116247, 4.9703771 8.0104851, 4.9708409 8.010434, 4.9715165 8.0114603))"
476348302,Osun,Ila,Isedo 2,No,farmland,0.16431976859478353,2024-03-29,"POLYGON ((4.9750004 7.9875507, 4.9721428 7.9866909, 4.9739058 7.9809945, 4.9767818 7.9857065, 4.9750004 7.9875507))"
476348303,Osun,Ila,Isedo 2,No,farmland,0.015214928821163036,2024-03-29,"POLYGON ((4.9895489 8.012472, 4.9885517 8.0113073, 4.9897381 8.0111959, 4.9895489 8.012472))"
7087270,Kaduna,Birnin Gwari,Kakangi,No,farmland,0.1605666001023928,2024-03-29,"POLYGON ((6.1077598 10.7113114, 6.1060693 10.7117152, 6.0990528 10.7080421, 6.1084043 10.7085215, 6.1077598 10.7113114))"
426789171,Kaduna,Birnin Gwari,Kakangi,No,farmland,0.13745785727236587,2024-03-29,"POLYGON ((6.130387 10.8437391, 6.131079 10.8432491, 6.1316261 10.8441237, 6.130387 10.8437391))"
426789172,Kaduna,Birnin Gwari,Kakangi,No,farmland,0.15286107644191052,2024-03-29,"POLYGON ((6.1318354 10.8443977, 6.1315242 10.8431754, 6.1329351 10.8433229, 6.1330531 10.8445768, 6.1318354 10.8443977))"
426789174,Kaduna,Birnin Gwari,Kakangi,No,farmland,0.15726418104178735,2024-03-29,"POLYGON ((6.1315242 10.8431754, 6.1312989 10.8418108, 6.1328814 10.8424378, 6.1329512 10.8432966, 6.1315242 10.8431754))"
426789175,Kaduna,Birnin Gwari,Kakangi,No,farmland,0.14749174979767418,2024-03-29,"POLYGON ((6.1312989 10.8418108, 6.1344716 10.842145, 6.1343782 10.8434567, 6.1328814 10.8424378, 6.1312989 10.8418108))"
426789176,Kaduna,Birnin Gwari,Kakangi,No,farmland,0.15866840870309484,2024-03-29,"POLYGON ((6.1329543 10.8424874, 6.1349292 10.8436494, 6.1346957 10.8446401, 6.1330519 10.8447869, 6.1329543 10.8424874))"
426789177,Kaduna,Birnin Gwari,Kakangi,No,farmland,0.14773662850391614,2024-03-29,"POLYGON ((6.1330519 10.8447869, 6.1346957 10.8446401, 6.1341209 10.8469275, 6.1329836 10.8460424, 6.1330519 10.8447869))"
426789178,Kaduna,Birnin Gwari,Kakangi,No,farmland,0.17762514098633614,2024-03-29,"POLYGON ((6.132415 10.8465903, 6.1327369 10.8459581, 6.1331982 10.84678, 6.132415 10.8465903))"
